datum,tankenr,value
1.4543712E9,1,0.10527364537895915
1.4544576E9,1,0.10866164334993285
1.454544E9,1,0.11204964132090656
1.4546304E9,1,0.11543763929188025
1.4547168E9,1,0.11882563726285394
1.4548032E9,1,0.12221363523382764
1.4548896E9,1,0.12560163320480133
1.454976E9,1,0.12898963117577503
1.4550624E9,1,0.13237762914674872
1.4551488E9,1,0.13576562711772244
1.4552352E9,1,0.13915362508869614
1.4553216E9,1,0.14254162305966983
1.455408E9,1,0.14592962103064352
1.4554944E9,1,0.14931761900161722
1.4555808E9,1,0.1527056169725909
1.4556672E9,1,0.1560936149435646
1.4557536E9,1,0.1594816129145383
1.45584E9,1,0.162869610885512
1.4559264E9,1,0.16625760885648572
1.4560128E9,1,0.1696456068274594
1.4560992E9,1,0.1730336047984331
1.4561856E9,1,0.1764216027694068
1.456272E9,1,0.1798096007403805
1.4563584E9,1,0.1831975987113542
1.4564448E9,1,0.18658559668232788
1.4565312E9,1,0.18997359465330158
1.4566176E9,1,0.19336159262427527
1.456704E9,1,0.196749590595249
1.4567904E9,1,0.20013758856622269
1.4568768E9,1,0.20352558653719638
1.4569632E9,1,0.20691358450817007
1.4570496E9,1,0.21030158247914377
1.457136E9,1,0.21368958045011746
1.4572224E9,1,0.21707757842109116
1.4573088E9,1,0.22046557639206485
1.4573952E9,1,0.22385357436303854
1.4574816E9,1,0.22724157233401224
1.457568E9,1,0.23062957030498596
1.4576544E9,1,0.23401756827595965
1.4577408E9,1,0.23740556624693335
1.4578272E9,1,0.24079356421790704
1.4579136E9,1,0.24418156218888074
1.458E9,1,0.24756956015985443
1.4580864E9,1,0.25095755813082815
1.4581728E9,1,0.2543455561018018
1.4582592E9,1,0.25773355407277554
1.4583456E9,1,0.2611215520437492
1.458432E9,1,0.2645095500147229
1.4585184E9,1,0.2678975479856966
1.4586048E9,1,0.2712855459566703
1.4586912E9,1,0.274673543927644
1.4587776E9,1,0.2780615418986177
1.458864E9,1,0.2814495398695914
1.4589504E9,1,0.2848375378405651
1.4590368E9,1,0.2882255358115388
1.4591232E9,1,0.2916135337825125
1.4592096E9,1,0.2950015317534862
1.459296E9,1,0.29838952972445987
1.4593824E9,1,0.3017775276954336
1.4594688E9,1,0.30516552566640726
1.4595552E9,1,0.308553523637381
1.4596416E9,1,0.3119415216083547
1.459728E9,1,0.31532951957932837
1.4598144E9,1,0.3187175175503021
1.4599008E9,1,0.32210551552127575
1.4599872E9,1,0.3254935134922495
1.4600736E9,1,0.32888151146322314
1.46016E9,1,0.33226950943419686
1.4602464E9,1,0.33565750740517053
1.4603328E9,1,0.33904550537614425
1.4604192E9,1,0.342433503347118
1.4605056E9,1,0.34582150131809164
1.460592E9,1,0.34920949928906536
1.4606784E9,1,0.35259749726003903
1.4607648E9,1,0.35598549523101275
1.4608512E9,1,0.3593734932019864
1.4609376E9,1,0.36276149117296014
1.461024E9,1,0.3661494891439338
1.4611104E9,1,0.3695374871149075
1.4611968E9,1,0.37292548508588125
1.4612832E9,1,0.3763134830568549
1.4613696E9,1,0.37970148102782864
1.461456E9,1,0.3830894789988023
1.4615424E9,1,0.386477476969776
1.4616288E9,1,0.3898654749407497
1.4617152E9,1,0.3932534729117234
1.4618016E9,1,0.3966414708826971
1.461888E9,1,0.4000294688536708
1.4619744E9,1,0.4034174668246445
1.4620608E9,1,0.4068054647956182
1.4621472E9,1,0.4101934627665919
1.4622336E9,1,0.4135814607375656
1.46232E9,1,0.4169694587085393
1.4624064E9,1,0.42035745667951296
1.4624928E9,1,0.4237454546504867
1.4625792E9,1,0.42713345262146035
1.4626656E9,1,0.4305214505924341
1.462752E9,1,0.4339094485634078
1.4628384E9,1,0.43729744653438146
1.4629248E9,1,0.4406854445053552
1.4630112E9,1,0.44407344247632885
1.4630976E9,1,0.44746144044730257
1.463184E9,1,0.45084943841827624
1.4632704E9,1,0.45423743638924996
1.4633568E9,1,0.4576254343602236
1.4634432E9,1,0.46101343233119735
1.4635296E9,1,0.464401430302171
1.463616E9,1,0.46778942827314474
1.4637024E9,1,0.47117742624411846
1.4637888E9,1,0.4745654242150921
1.4638752E9,1,0.47795342218606585
1.4639616E9,1,0.4813414201570395
1.464048E9,1,0.48472941812801323
1.4641344E9,1,0.4881174160989869
1.4642208E9,1,0.4915054140699606
1.4643072E9,1,0.4948934120409343
1.4643936E9,1,0.498281410011908
1.46448E9,1,0.5016694079828817
1.4645664E9,1,0.5050574059538554
1.4646528E9,1,0.5084454039248291
1.4647392E9,1,0.5118334018958028
1.4648256E9,1,0.5152213998667765
1.464912E9,1,0.5186093978377502
1.4649984E9,1,0.5219973958087238
1.4650848E9,1,0.5253853937796976
1.4651712E9,1,0.5287733917506713
1.4652576E9,1,0.532161389721645
1.465344E9,1,0.5355493876926187
1.4654304E9,1,0.5389373856635924
1.4655168E9,1,0.5423253836345661
1.4656032E9,1,0.5457133816055397
1.4656896E9,1,0.5491013795765135
1.465776E9,1,0.5524893775474872
1.4658624E9,1,0.5558773755184608
1.4659488E9,1,0.5592653734894345
1.4660352E9,1,0.5626533714604083
1.4661216E9,1,0.566041369431382
1.466208E9,1,0.5694293674023556
1.4662944E9,1,0.5728173653733294
1.4663808E9,1,0.5762053633443031
1.4664672E9,1,0.5795933613152767
1.4665536E9,1,0.5829813592862504
1.46664E9,1,0.5863693572572242
1.4667264E9,1,0.5897573552281978
1.4668128E9,1,0.5931453531991715
1.4668992E9,1,0.5965333511701453
1.4669856E9,1,0.5999213491411189
1.467072E9,1,0.6033093471120926
1.4671584E9,1,0.6066973450830663
1.4672448E9,1,0.61008534305404
1.4673312E9,1,0.6134733410250137
1.4674176E9,1,0.6168613389959874
1.467504E9,1,0.620249336966961
1.4675904E9,1,0.6236373349379348
1.4676768E9,1,0.6270253329089085
1.4677632E9,1,0.6304133308798822
1.4678496E9,1,0.6338013288508559
1.467936E9,1,0.6371893268218296
1.4680224E9,1,0.6405773247928033
1.4681088E9,1,0.6439653227637769
1.4681952E9,1,0.6473533207347507
1.4682816E9,1,0.6507413187057244
1.468368E9,1,0.654129316676698
1.4684544E9,1,0.6575173146476718
1.4685408E9,1,0.6609053126186455
1.4686272E9,1,0.6642933105896192
1.4687136E9,1,0.6676813085605928
1.4688E9,1,0.6710693065315666
1.4688864E9,1,0.6744573045025403
1.4689728E9,1,0.6778453024735139
1.4690592E9,1,0.6812333004444876
1.4691456E9,1,0.6846212984154614
1.469232E9,1,0.688009296386435
1.4693184E9,1,0.6913972943574087
